State,OverallHomeless2020,ShelteredTotalHomeless2020,UnshelteredHomeless2020,OverallHomeless2019,ShelteredTotalHomeless2019,UnshelteredHomeless2019,OverallHomeless2018,ShelteredTotalHomeless2018,UnshelteredHomeless2018,OverallHomeless2017,ShelteredTotalHomeless2017,UnshelteredHomeless2017,OverallHomeless2016,ShelteredTotalHomeless2016,UnshelteredHomeless2016,OverallHomeless2015,ShelteredTotalHomeless2015,UnshelteredHomeless2015,OverallHomeless2014,ShelteredTotalHomeless2014,UnshelteredHomeless2014,OverallHomeless2013,ShelteredTotalHomeless2013,UnshelteredHomeless2013,OverallHomeless2012,ShelteredTotalHomeless2012,UnshelteredHomeless2012,OverallHomeless2011,ShelteredTotalHomeless2011,UnshelteredHomeless2011,OverallHomeless2010,ShelteredTotalHomeless2010,UnshelteredHomeless2010,OverallHomeless2009,ShelteredTotalHomeless2009,UnshelteredHomeless2009,OverallHomeless2008,ShelteredTotalHomeless2008,UnshelteredHomeless2008,OverallHomeless2007,ShelteredTotalHomeless2007,UnshelteredHomeless2007
AK,1949,1725,224,1907,1634,273,2016,1707,309,1845,1551,294,1940,1498,442,1956,1639,317,1784,1639,145,1946,1741,205,1913,1716,197,2128,1760,368,1863,1671,192,1992,1665,327,1646,1452,194,1642,1387,255
AL,3351,2052,1299,3261,2070,1191,3434,2424,1010,3793,2656,1137,4111,2893,1218,3970,2943,1027,4561,3518,1043,4689,3246,1443,5209,3664,1545,5558,3749,1809,6046,3891,2155,6080,3913,2167,5387,3843,1544,5452,3796,1656
AR,2366,1093,1273,2717,1302,1415,2712,1455,1257,2467,1273,1194,2463,1616,847,2560,1678,882,2936,1503,1433,3812,1664,2148,4214,1602,2612,3424,1802,1622,2762,1728,1034,2852,1730,1122,3255,2020,1235,3836,2285,1551
AS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,10979,5458,5521,10007,5475,4532,9865,5799,4066,8947,5781,3166,9707,6463,3244,9896,6939,2957,10495,7926,2569,10562,7431,3131,11302,8215,3087,10504,7302,3202,13711,7214,6497,14721,8366,6355,12488,6970,5518,14646,8618,6028
CA,161548,47888,113660,151278,42846,108432,129972,40429,89543,131532,42636,88896,118142,39752,78390,115738,42039,73699,113952,42515,71437,118552,45554,72998,120098,45890,74208,125128,50691,74437,123480,50899,72581,123678,50777,72901,136531,46965,89566,138986,48511,90475
CO,9846,6933,2913,9619,7431,2188,10857,6528,4329,10940,7081,3859,10550,7611,2939,9953,7134,2819,10028,8083,1945,9754,7591,2163,16768,7260,9508,15116,6146,8970,15482,9031,6451,15268,9031,6237,14747,6877,7870,14225,6971,7254
CT,2905,2580,325,3033,2577,456,3976,3395,581,3388,2972,416,3902,3229,673,4047,3421,626,4450,3531,919,4448,3529,919,4209,3514,695,4456,3761,695,4316,3817,499,4605,4103,502,4627,4020,607,4482,3671,811
DC,6380,5727,653,6521,5913,608,6904,6304,600,7473,6576,897,8350,8032,318,7298,6754,544,7748,7352,396,6865,6353,512,6954,6275,679,6546,6241,305,6539,6109,430,6228,5907,321,6044,5666,378,5320,4980,340
DE,1165,1015,150,921,826,95,1082,989,93,994,936,58,1070,1019,51,953,916,37,901,864,37,946,936,10,1008,986,22,1035,1013,22,982,930,52,1130,1083,47,933,862,71,1061,854,207
FL,27487,14815,12672,28328,15852,12476,31030,17637,13393,32190,17111,15079,33559,18198,15361,35900,18883,17017,41542,19851,21691,47862,19670,28192,55170,19832,35338,56687,20824,35863,57551,21817,35734,55599,21867,33732,50158,20724,29434,48069,20529,27540
GA,10234,6078,4156,10443,6563,3880,9499,5900,3599,10174,6651,3523,12909,7543,5366,13790,7987,5803,16521,8214,8307,16971,8510,8461,20516,8320,12196,20975,8723,12252,19836,8746,11090,20360,9419,10941,19095,8865,10230,19639,8341,11298
GU,790,108,682,875,111,764,854,127,727,852,87,765,1085,112,973,1280,87,1193,1356,126,1230,1271,128,1143,1301,187,1114,1745,204,1541,1635,182,1453,1088,182,906,725,103,622,725,103,622
