State,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR
OverallHomeless2020,1949,3351,2366, ,10979,161548,9846,2905,6380,1165,27487,10234,790,6458,2647,2315,10431,5625,2449,4011,3173,17975,6360,2097,8638,7940,6527,1207,1107,1545,9280,541,2404,1675,9662,3333,6900,91271,10655,3932,14655
ShelteredTotalHomeless2020,1725,2052,1093, ,5458,47888,6933,2580,5727,1015,14815,6078,108,2808,2314,1272,8153,4659,1967,3083,2020,16681,5124,1956,7599,5991,4879,2,581,1085,6722,507,2261,1327,7881,2074,2691,86714,8811,2688,5778
UnshelteredHomeless2020,224,1299,1273, ,5521,113660,2913,325,653,150,12672,4156,682,3650,333,1043,2278,966,482,928,1153,1294,1236,141,1039,1949,1648,1205,526,460,2558,34,143,348,1781,1259,4209,4557,1844,1244,8877
OverallHomeless2019,1907,3261,2717, ,10007,151278,9619,3033,6521,921,28328,10443,875,6412,2315,2315,10199,5471,2381,4079,2941,18471,6561,2106,8575,7977,6179,1807,1184,1357,9314,557,2365,1396,8862,3241,7169,92091,10345,3944,15876
ShelteredTotalHomeless2019,1634,2070,1302, ,5475,42846,7431,2577,5913,826,15852,6563,111,2772,2127,1330,8310,4829,1906,3300,1967,17642,5213,2011,7913,6324,5203,20,698,1012,7046,545,2255,1247,7380,1982,3362,88044,8838,2707,5734
UnshelteredHomeless2019,273,1191,1415, ,4532,108432,2188,456,608,95,12476,3880,764,3640,188,985,1889,642,475,779,974,829,1348,95,662,1653,976,1787,486,345,2268,12,110,149,1482,1259,3807,4047,1507,1237,10142
OverallHomeless2018,2016,3434,2712, ,9865,129972,10857,3976,6904,1082,31030,9499,854,6530,2749,2012,10643,5258,2216,3688,3059,20068,7144,2516,8351,7243,5883,1044,1352,1405,9268,542,2421,1450,9398,2551,7544,91897,10249,3871,14476
ShelteredTotalHomeless2018,1707,2424,1455, ,5799,40429,6528,3395,6304,989,17637,5900,127,3055,2508,1289,8701,4679,1859,2820,1994,19083,5380,2418,7452,6122,4669,22,731,1032,6818,494,2277,1296,7775,1755,3305,87603,8934,2680,5551
UnshelteredHomeless2018,309,1010,1257, ,4066,89543,4329,581,600,93,13393,3599,727,3475,241,723,1942,579,357,868,1065,985,1764,98,899,1121,1214,1022,621,373,2450,48,144,154,1623,796,4239,4294,1315,1191,8925
OverallHomeless2017,1845,3793,2467, ,8947,131532,10940,3388,7473,994,32190,10174,852,7220,2756,2037,10798,5438,2287,4025,3305,17565,7247,2280,9051,7668,6037,672,1472,1529,8962,1089,2501,1456,8536,2482,7833,89503,10095,4199,13953
